Date,BLK,AXP,JPM,GS,SCHW,WFC,COF,C,MS,BAC
2022-10-12,485.2161865234375,130.52915954589844,95.30756378173828,269.4822692871094,68.153564453125,36.8230094909668,87.52076721191406,35.843605041503906,67.80829620361328,27.144756317138672
2022-10-13,517.1286010742188,135.6365203857422,100.60600280761719,280.2137451171875,70.22026062011719,38.5228157043457,91.57429504394531,37.69548034667969,70.21611785888672,28.808351516723633
2022-10-14,503.3513488769531,131.094482421875,102.28015899658203,273.7529296875,65.39481353759766,39.24091339111328,89.29945373535156,37.94121551513672,66.65751647949219,28.817441940307617
2022-10-17,520.0701904296875,135.6269073486328,106.5759506225586,279.8851623535156,63.92536544799805,39.959014892578125,91.24664306640625,38.257171630859375,68.28634643554688,30.562847137451172
2022-10-18,530.8600463867188,139.89102172851562,109.317138671875,286.4007263183594,65.0440444946289,40.60438537597656,93.23127746582031,38.7486572265625,70.32235717773438,31.708280563354492
2022-10-19,527.9729614257812,137.9553985595703,107.17385864257812,284.49359130859375,65.13883972167969,39.649959564208984,89.1496810913086,38.03776550292969,68.72895050048828,30.8355712890625
2022-10-20,522.91162109375,136.4701385498047,106.82429504394531,283.6266174316406,64.46574401855469,39.6772346496582,88.91564178466797,37.66913604736328,67.80829620361328,30.63557243347168
2022-10-21,545.6604614257812,134.18959045410156,112.43550109863281,296.66680908203125,66.6651611328125,40.749839782714844,90.10454559326172,38.84519577026367,70.12760162353516,31.771907806396484
2022-10-24,558.6153564453125,135.7131805419922,112.57347869873047,299.9520263671875,67.02542114257812,41.08616638183594,91.33089447021484,38.97685241699219,70.31349182128906,31.880992889404297
2022-10-25,580.9987182617188,140.87799072265625,112.86784362792969,303.328369140625,68.69393157958984,41.240684509277344,95.09422302246094,39.7755241394043,71.26954650878906,32.171897888183594
2022-10-26,582.697998046875,140.74383544921875,114.16484832763672,306.3306884765625,69.1584701538086,41.540645599365234,95.41251373291016,39.85451126098633,71.6236343383789,32.453704833984375
2022-10-27,592.912109375,140.83006286621094,114.61558532714844,307.6903381347656,73.31082153320312,41.49519348144531,95.60910034179688,39.88084030151367,71.42889404296875,32.60824966430664
2022-10-28,606.4060668945312,144.1551055908203,115.97699737548828,311.9245300292969,76.02218627929688,42.13148880004883,100.26178741455078,40.486427307128906,73.4891128540039,32.89006423950195
2022-10-31,590.1072998046875,142.2482147216797,115.79302215576172,314.3792724609375,75.52919006347656,41.80424880981445,99.25074005126953,40.24945831298828,73.44441223144531,32.76279067993164
2022-11-01,595.6712646484375,140.93545532226562,117.8811264038086,318.0932922363281,75.73776245117188,42.676883697509766,99.99029541015625,40.5654182434082,74.82982635498047,32.90824890136719
2022-11-02,583.6207275390625,137.50503540039062,116.7956771850586,319.19744873046875,74.82765197753906,42.613250732421875,96.62016296386719,39.977394104003906,75.41080474853516,32.80824279785156
2022-11-03,579.052734375,133.49005126953125,117.00725555419922,318.35791015625,74.84662628173828,41.66182327270508,92.51045989990234,39.12605285644531,74.74044799804688,32.62643051147461
2022-11-04,599.462646484375,138.67405700683594,120.2083969116211,326.60723876953125,74.9414291381836,42.7596321105957,95.98355865478516,40.067142486572266,75.83984375,33.44459915161133
2022-11-07,617.8718872070312,140.83963012695312,120.84310150146484,330.8505859375,75.5102310180664,43.0615234375,98.05247497558594,40.599822998046875,76.48338317871094,33.64458084106445
2022-11-08,627.0353393554688,143.92510986328125,120.91668701171875,332.18292236328125,75.49127960205078,43.16215133666992,98.80138397216797,40.94607162475586,76.22416687011719,33.735496520996094
2022-11-09,611.76904296875,139.7664337158203,119.34373474121094,330.3396301269531,74.40752410888672,42.05520248413086,94.99124145507812,40.271339416503906,74.5885009765625,33.199153900146484
2022-11-10,694.1671142578125,148.2850341796875,124.25580596923828,345.22308349609375,74.68321228027344,43.86658477783203,106.80982971191406,42.98805236816406,79.37039184570312,34.66273880004883
2022-11-11,707.8163452148438,148.41921997070312,124.45816802978516,351.48309326171875,74.49309539794922,43.500648498535156,109.47490692138672,44.55949020385742,81.14012908935547,34.91728973388672
2022-11-14,677.1192016601562,147.69093322753906,123.17955017089844,348.9189147949219,72.69637298583984,42.8785514831543,105.0676498413086,43.52074432373047,80.27313995361328,34.326385498046875
2022-11-15,676.3516845703125,147.46096801757812,122.28729248046875,349.3934631347656,74.4360580444336,42.732173919677734,97.52447509765625,43.52961730957031,80.88986206054688,34.271846771240234
2022-11-16,664.2191772460938,146.1961212158203,122.45287322998047,348.8915100097656,73.5899887084961,42.274757385253906,95.82937622070312,42.94365692138672,80.28207397460938,33.962764739990234
2022-11-17,658.9932861328125,144.3467254638672,121.9193344116211,346.5645751953125,74.05579376220703,42.07350158691406,93.64460754394531,42.837127685546875,79.50444793701172,33.790035247802734
2022-11-18,658.3538208007812,146.12904357910156,123.11516571044922,346.0353088378906,75.87154388427734,42.540061950683594,93.19255828857422,43.201133728027344,79.72791290283203,33.8082160949707
2022-11-21,661.1768188476562,146.4261016845703,122.38848114013672,346.9569396972656,76.05216217041016,42.85110855102539,95.40560913085938,43.39645004272461,79.62066650390625,33.91731262207031
2022-11-22,670.08447265625,148.12216186523438,124.21900177001953,350.2969055175781,77.24999237060547,43.098121643066406,95.63162994384766,43.79596710205078,80.14801025390625,34.080936431884766
2022-11-23,672.7066040039062,147.499267578125,125.54365539550781,352.46868896484375,77.39258575439453,43.29938507080078,95.70694732666016,42.82823944091797,80.38040161132812,34.19002914428711
2022-11-25,674.0404052734375,147.71011352539062,125.78282165527344,354.85040283203125,77.58271789550781,43.40001678466797,95.7917251586914,42.87263870239258,81.2563247680664,34.271846771240234
